Number,Inserted,Space,Time
1,5.24288e+08,178476302336,1.07394
2,1.04858e+09,177951502336,1.08402
3,1.57286e+09,177426702336,1.07746
4,2.09715e+09,176901902336,1.08069
5,2.62144e+09,176377102336,1.08186
6,3.14573e+09,175852302336,1.0835
7,3.67002e+09,175327502336,1.0773
8,4.1943e+09,174802694144,1.08134
9,4.71859e+09,174277894144,1.07954
10,5.24288e+09,173753094144,1.08087
11,5.76717e+09,173228294144,1.08077
12,6.29146e+09,172703494144,1.08038
13,6.81574e+09,172178694144,1.11892
14,7.34003e+09,171653894144,1.07376
15,7.86432e+09,171129090048,1.07965
16,8.38861e+09,170604290048,1.0881
17,8.9129e+09,170079490048,1.08506
18,9.43718e+09,169554690048,1.11367
19,9.96147e+09,169029890048,1.08651
20,1.04858e+10,168505090048,1.09154
21,1.101e+10,167980290048,1.09075
22,1.15343e+10,167455485952,1.08701
23,1.20586e+10,166930685952,1.09839
24,1.25829e+10,166405885952,1.08292
25,1.31072e+10,165881085952,1.08053
26,1.36315e+10,165356285952,1.08284
27,1.41558e+10,164831485952,1.07844
28,1.46801e+10,164306685952,1.0907
29,1.52044e+10,163781881856,1.07276
30,1.57286e+10,163257081856,1.08151
31,1.62529e+10,162732281856,1.0789
32,1.67772e+10,162207481856,1.0437
33,1.73015e+10,161682681856,1.12525
34,1.78258e+10,161157881856,1.0725
35,1.83501e+10,160633081856,1.08018
36,1.88744e+10,160108277760,1.08012
37,1.93987e+10,159583477760,1.08113
38,1.99229e+10,159058677760,1.13722
39,2.04472e+10,158533877760,1.08688
40,2.09715e+10,158009077760,1.08195
41,2.14958e+10,157484277760,1.07986
42,2.20201e+10,156959477760,1.08209
43,2.25444e+10,156434673664,1.11336
44,2.30687e+10,155909873664,1.0785
45,2.3593e+10,155385073664,1.08024
46,2.41172e+10,154860273664,1.07969
47,2.46415e+10,154335469568,1.08375
48,2.51658e+10,153810669568,1.08745
49,2.56901e+10,153285869568,1.05169
50,2.62144e+10,152761065472,1.07436
51,2.56901e+10,152761065472,1.60216
50,2.51658e+10,152761065472,1.70329
49,2.46415e+10,152761065472,1.82737
48,2.41172e+10,152761065472,1.80579
47,2.3593e+10,152761065472,1.6189
46,2.30687e+10,152761065472,1.61337
45,2.25444e+10,152761065472,1.95912
44,2.20201e+10,152761065472,1.68788
43,2.14958e+10,152761065472,1.65012
42,2.09715e+10,152761065472,1.83877
41,2.04472e+10,152761065472,1.84795
40,1.99229e+10,152761065472,1.68901
39,1.93987e+10,152761065472,1.88275
38,1.88744e+10,152761065472,1.88809
37,1.83501e+10,152761065472,1.64337
36,1.78258e+10,152761065472,1.80822
35,1.73015e+10,152761065472,1.88897
34,1.67772e+10,152761065472,1.84855
33,1.62529e+10,152761065472,1.6737
32,1.57286e+10,152761065472,1.69666
31,1.52044e+10,152761065472,1.87581
30,1.46801e+10,152761065472,1.7148
29,1.41558e+10,152761065472,1.73563
28,1.36315e+10,152761065472,1.66052
27,1.31072e+10,152761065472,1.64395
26,1.25829e+10,152761065472,1.54443
25,1.20586e+10,152761065472,1.76245
24,1.15343e+10,152761065472,1.76669
23,1.101e+10,152761065472,1.72012
22,1.04858e+10,152761065472,1.42789
21,9.96147e+09,152761065472,1.48218
20,9.43718e+09,152761065472,1.47506
19,8.9129e+09,152761065472,1.44411
18,8.38861e+09,152761065472,1.43558
17,7.86432e+09,152761065472,1.62558
16,7.34003e+09,152761065472,1.6759
15,6.81574e+09,152761065472,1.79229
14,6.29146e+09,152761065472,1.54178
13,5.76717e+09,152761065472,1.74238
12,5.24288e+09,152761065472,1.85857
11,4.71859e+09,152761065472,1.51189
10,4.1943e+09,152761065472,1.76956
9,3.67002e+09,152761065472,1.78389
8,3.14573e+09,152761065472,1.78116
7,2.62144e+09,152761065472,1.65338
6,2.09715e+09,152761065472,1.80472
5,1.57286e+09,152761065472,1.84391
4,1.04858e+09,152761065472,1.78324
3,5.24288e+08,152761065472,1.8032
2,0,152761065472,1.6794
1,5.24288e+08,152761065472,1.00798
2,1.04858e+09,152761065472,0.995932
3,1.57286e+09,152761065472,0.992329
4,2.09715e+09,152761065472,0.995523
5,2.62144e+09,152761065472,0.99567
6,3.14573e+09,152761065472,1.01479
7,3.67002e+09,152761065472,0.998472
8,4.1943e+09,152761065472,0.999134
9,4.71859e+09,152761065472,0.996524
10,5.24288e+09,152761065472,0.995745
11,5.76717e+09,152761065472,1.00473
12,6.29146e+09,152761065472,0.989129
13,6.81574e+09,152761065472,0.975956
14,7.34003e+09,152761065472,0.99377
15,7.86432e+09,152761065472,0.994464
16,8.38861e+09,152761061376,1.00949
17,8.9129e+09,152761061376,0.98897
18,9.43718e+09,152761061376,0.989353
19,9.96147e+09,152761061376,0.997356
20,1.04858e+10,152761061376,1.07347
21,1.101e+10,152761061376,1.08128
22,1.15343e+10,152761061376,1.05996
23,1.20586e+10,152761061376,1.0598
24,1.25829e+10,152761061376,1.05797
25,1.31072e+10,152761061376,1.06164
26,1.36315e+10,152761061376,1.06459
27,1.41558e+10,152761061376,1.08972
28,1.46801e+10,152761061376,1.06062
29,1.52044e+10,152761061376,0.994884
30,1.57286e+10,152761061376,1.05855
31,1.62529e+10,152761061376,1.12171
32,1.67772e+10,152761061376,1.1254
33,1.73015e+10,152761061376,1.12402
34,1.78258e+10,152761061376,1.12909
35,1.83501e+10,152761061376,1.16859
36,1.88744e+10,152761061376,1.12642
37,1.93987e+10,152761061376,1.12085
38,1.99229e+10,152761061376,1.12016
39,2.04472e+10,152761061376,1.13133
40,2.09715e+10,152761061376,1.12464
41,2.14958e+10,152761061376,1.11871
42,2.20201e+10,152761061376,1.11927
43,2.25444e+10,152761061376,1.12921
44,2.30687e+10,152761061376,1.1353
45,2.3593e+10,152761061376,1.11484
46,2.41172e+10,152761061376,1.11761
47,2.46415e+10,152761061376,1.11818
48,2.51658e+10,152761061376,1.12018
49,2.56901e+10,152761061376,1.11912
50,2.62144e+10,152761061376,1.11502
51,2.56901e+10,152761061376,1.59606
50,2.51658e+10,152761061376,1.79422
49,2.46415e+10,152761061376,1.76443
48,2.41172e+10,152761061376,1.91132
47,2.3593e+10,152761061376,1.89536
46,2.30687e+10,152761061376,1.66729
45,2.25444e+10,152761061376,1.72509
44,2.20201e+10,152761061376,1.80137
43,2.14958e+10,152761061376,1.71413
42,2.09715e+10,152761061376,1.98737
41,2.04472e+10,152761061376,1.87093
40,1.99229e+10,152761061376,1.75639
39,1.93987e+10,152761061376,1.77173
38,1.88744e+10,152761061376,1.55515
37,1.83501e+10,152761061376,1.6942
36,1.78258e+10,152761061376,1.91722
35,1.73015e+10,152761061376,1.62805
34,1.67772e+10,152761061376,1.705
33,1.62529e+10,152761061376,2.09212
32,1.57286e+10,152761061376,3.15894
31,1.52044e+10,152761061376,2.37458
30,1.46801e+10,152761061376,1.88843
29,1.41558e+10,152761061376,3.41356
28,1.36315e+10,152761061376,3.00666
27,1.31072e+10,152761061376,3.017
26,1.25829e+10,152761061376,3.47267
25,1.20586e+10,152761061376,2.97883
24,1.15343e+10,152761061376,3.07638
23,1.101e+10,152761061376,3.06767
22,1.04858e+10,152761061376,2.94171
21,9.96147e+09,152761061376,2.82374
20,9.43718e+09,152761061376,2.87648
19,8.9129e+09,152761061376,2.7429
18,8.38861e+09,152761061376,2.85305
17,7.86432e+09,152761061376,3.00069
16,7.34003e+09,152761061376,2.83173
15,6.81574e+09,152761061376,3.00883
14,6.29146e+09,152761061376,3.3641
13,5.76717e+09,152761061376,3.02682
12,5.24288e+09,152761061376,3.13695
11,4.71859e+09,152761061376,2.99932
10,4.1943e+09,152761061376,2.6545
9,3.67002e+09,152761057280,3.46383
8,3.14573e+09,152761057280,3.25648
7,2.62144e+09,152761057280,2.98098
6,2.09715e+09,152761057280,3.00092
5,1.57286e+09,152761057280,3.26768
4,1.04858e+09,152761057280,2.89312
3,5.24288e+08,152761057280,3.01285
2,0,152761057280,2.76807
Total restructure time: 1.53562
